CRIMINALIDAD,ES_ARCHIVO,ES_PRECLUSIÓN,ESTADO,ETAPA_CASO,LEY,PAÍS_HECHO,DEPARTAMENTO_HECHO,MUNICIPIO_HECHO,SECCIONAL,AÑO_HECHOS,AÑO_ENTRADA,AÑO_DENUNCIA,DELITO,GRUPO_DELITO,CONSUMADO,TOTAL_PROCESOS
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SAN ONOFRE,DIRECCIÓN SECCIONAL DE SUCRE,2019,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Magdalena,PLATO,DIRECCIÓN SECCIONAL DE MAGDALENA,2023,2023,2023,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Risaralda,MARSELLA,DIRECCIÓN SECCIONAL DE RISARALDA,2023,2024,2024,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,CANDELARIA,DIRECCIÓN SECCIONAL DE CALI,2025,2025,2025,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Boyaca,CAMPOHERMOSO,SIN DATO,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,PLANADAS,DIRECCIÓN SECCIONAL DE TOLIMA,2023,2023,2023,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,FLORIDA,DIRECCIÓN SECCIONAL DE CALI,2024,2024,2024,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,ENVIGADO,DIRECCIÓN SECCIONAL DE MAGDALENA,2017,2017,2017,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,ITAGUI,DIRECCIÓN SECCIONAL DE MEDELLÍN,2020,2020,2020,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Casanare,MONTERREY,DIRECCIÓN SECCIONAL DE CASANARE,2024,2024,2024,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
SI,NO,NO,ACTIVO,INVESTIGACIÓN,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cesar,VALLEDUPAR,DIRECCIÓN SECCIONAL DE CESAR,2020,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Risaralda,DOSQUEBRADAS,DIRECCIÓN SECCIONAL DE RISARALDA,2019,2019,2019,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,3
SI,NO,SI,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Arauca,TAME,DIRECCIÓN SECCIONAL DE ARAUCA,2010,2010,2010,"SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3",DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Córdoba,CERETÉ,DIRECCIÓN SECCIONAL DE CÓRDOBA,2025,2025,2025,"VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5",DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,SIMIJACA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2022,2022,2022,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caquetá,FLORENCIA,DIRECCIÓN SECCIONAL DE CAQUETÁ,2024,2025,2025,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Boyaca,TIBANÁ,DIRECCIÓN SECCIONAL DE BOYACÁ,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SAN LUIS DE SINCÉ,DIRECCIÓN SECCIONAL DE SUCRE,2018,2018,2018,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,2013,2017,2017,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,DON MATÍAS,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2018,2018,2018,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,FLORIDABLANCA,DIRECCIÓN SECCIONAL DE SANTANDER,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,FLANDES,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2022,2023,2023,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,CALI,DIRECCIÓN SECCIONAL DE CALI,2020,2020,2020,USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,SOACHA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2018,2018,2018,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cauca,MORALES,DIRECCIÓN SECCIONAL DE CAUCA,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Córdoba,SAN PELAYO,DIRECCIÓN SECCIONAL DE CÓRDOBA,2020,2021,2021,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,COROZAL,DIRECCIÓN SECCIONAL DE SUCRE,2022,2022,2022,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Nariño,EL TAMBO,DIRECCIÓN SECCIONAL DE NARIÑO,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Huila,ISNOS,DIRECCIÓN SECCIONAL DE HUILA,2024,2024,2024,DAÑO INFORMATICO ART 269D LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Córdoba,VALENCIA,DIRECCIÓN SECCIONAL DE CÓRDOBA,2021,2021,2021,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE TOLIMA,2015,2015,2015,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Córdoba,TIERRALTA,DIRECCIÓN SECCIONAL DE CÓRDOBA,2021,2021,2021,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 1098,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2022,2022,2022,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caldas,PÁCORA,DIRECCIÓN SECCIONAL DE CALDAS,2016,2019,2019,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,SAN GIL,DIRECCIÓN SECCIONAL DE SANTANDER,2019,2019,2019,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Caldas,SAMANÁ,DIRECCIÓN SECCIONAL DE CALDAS,2022,2023,2023,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SINCELEJO,DIRECCIÓN SECCIONAL DE SUCRE,2018,2018,2018,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Córdoba,CERETÉ,DIRECCIÓN SECCIONAL DE CÓRDOBA,2022,2022,2022,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,FLORIDA,DIRECCIÓN SECCIONAL DE CALI,2020,2020,2020,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE SANTANDER,2010,2010,2010,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,PALMIRA,DIRECCIÓN SECCIONAL DE CALI,2022,2023,2023,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,MEDELLÍN,DIRECCIÓN SECCIONAL DE MEDELLÍN,2014,2023,2023,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DELEGADA CONTRA LA CRIMINALIDAD ORGANIZADA,2014,2020,2016,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,SALDAÑA,DIRECCIÓN SECCIONAL DE TOLIMA,2019,2019,2019,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Norte de Santander,VILLA DEL ROSARIO,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,2022,2023,2023,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Norte de Santander,CÚCUTA,DIRECCIÓN SECCIONAL DE NORTE DE SANTANDER,2022,2024,2024,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,VIOTÁ,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2025,2025,2025,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,CLEMENCIA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2025,2025,2025,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Sucre,SINCELEJO,DIRECCIÓN SECCIONAL DE SUCRE,2018,2019,2019,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,SI,INACTIVO,JUICIO,Ley 906,Colombia,Caldas,MANIZALES,DIRECCIÓN SECCIONAL DE CALDAS,2014,2014,2014,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,NO,NO,INACTIVO,EJECUCIÓN DE PENAS,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2019,2023,2019,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,"BOGOTÁ, D. C.","BOGOTÁ, D.C.",DIRECCIÓN SECCIONAL DE BOGOTÁ,2022,2023,2023,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,VALPARAÍSO,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Tolima,ARMERO,DIRECCIÓN SECCIONAL DE TOLIMA,2025,2025,2025,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,LA MESA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2023,2023,2023,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,PAIME,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,VILLETA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2025,2025,2025,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,2
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Valle del Cauca,ZARZAL,DIRECCIÓN SECCIONAL DE VALLE DEL CAUCA,2021,2021,2021,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Huila,SAN AGUSTÍN,DIRECCIÓN SECCIONAL DE HUILA,2022,2022,2022,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Huila,SANTA MARÍA,DIRECCIÓN SECCIONAL DE HUILA,2023,2023,2023,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOLÍVAR,2019,2019,2019,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,JUICIO,Ley 906,Colombia,Vichada,PUERTO CARREÑO,DIRECCIÓN SECCIONAL DE VICHADA,2020,2020,2020,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,GIRARDOT,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2025,2025,2025,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,3
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,FUSAGASUGÁ,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2021,2021,2021,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,MOMPÓS,DIRECCIÓN SECCIONAL DE BOLÍVAR,2025,2025,2025,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,GUTIÉRREZ,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2016,2016,2016,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Magdalena,SANTA MARTA,DIRECCIÓN SECCIONAL DE MAGDALENA,2021,2022,2022,OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,3
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Chocó,TADÓ,DIRECCIÓN SECCIONAL DE CHOCÓ,2022,2023,2023,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,VENECIA,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2025,2025,2025,ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,FLORIDABLANCA,DIRECCIÓN SECCIONAL DE ATLÁNTICO,2010,2010,2010,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,MOMPÓS,DIRECCIÓN SECCIONAL DE BOLÍVAR,2021,2021,2021,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Boyaca,SANTA MARÍA,DIRECCIÓN SECCIONAL DE BOYACÁ,2020,2020,2020,TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,ACTIVO,INDAGACIÓN,Ley 906,Colombia,Cundinamarca,BITUIMA,DIRECCIÓN SECCIONAL DE CUNDINAMARCA,2023,2023,2023,DAÑO INFORMATICO ART 269D LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
NO,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Cauca,BUENOS AIRES,DIRECCIÓN SECCIONAL DE CAUCA,2024,2024,2024,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,CARTAGENA,DIRECCIÓN SECCIONAL DE BOGOTÁ,2019,2019,2019,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Santander,BUCARAMANGA,DIRECCIÓN SECCIONAL DE SANTANDER,2011,2011,2011,"INTERCEPTACION DE DATOS INFORMATICOS, ART 269C LEY 1273 DE 2009",DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Risaralda,SANTA ROSA DE CABAL,DIRECCIÓN SECCIONAL DE RISARALDA,2023,2023,2023,SUPLANTACION DE SITIOS WEB PARA CAPTURAR DATOS PERSONALES ART 269G LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Guaviare,SAN JOSÉ DEL GUAVIARE,DIRECCIÓN SECCIONAL DE GUAVIARE,2018,2018,2018,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,NO,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Antioquia,GIRALDO,DIRECCIÓN SECCIONAL DE ANTIOQUIA,2025,2025,2025,VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Bolívar,PINILLOS,DIRECCIÓN SECCIONAL DE BOLÍVAR,2021,2021,2021,HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009,DELITOS INFORMATICOS,NO APLICA,1
SI,SI,NO,INACTIVO,INDAGACIÓN,Ley 906,Colombia,Chocó,EL CARMEN DE ATRATO,DIRECCIÓN SECCIONAL DE CHOCÓ,2022,2022,2022,INTERCEPTACION DE DATOS INFORMATICOS ART 269C LEY 1273 DE 2009 AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3,DELITOS INFORMATICOS,NO APLICA,1
