"ESTADO","ETAPA_CASO","LEY","PAÍS_HECHO","DEPARTAMENTO_HECHO","MUNICIPIO_HECHO","SECCIONAL_ACTUAL","DELITO","GRUPO_DELITO","CONSUMADO","AÑO_ACTUACIÓN","ACTUACIONES_AGRUPADAS","CUENTA_PROCESO_INDICIADO"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE LA GUAJIRA","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","IMPUTACIONES","14"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Cundinamarca","TOCANCIPÁ","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","CAPTURAS","4"
"INACTIVO","JUICIO","Ley 906","Colombia","Caquetá","FLORENCIA","DIRECCIÓN SECCIONAL DE CAQUETÁ","MANIPULACION DE EQUIPOS MOVILES TERMINALES. ART 105 DE LEY 1453 DE 2.011","DELITOS INFORMATICOS","NO APLICA","2020","ESCRITOS DE ACUSACION","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","PREACUERDOS LEGALIZADOS","8"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","ITAGUI","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2013","CAPTURAS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","CAPTURAS","7"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Córdoba","MONTELÍBANO","DIRECCIÓN SECCIONAL DE CÓRDOBA","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","CAPTURAS","3"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","TRASLADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2015","CAPTURAS","4"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Magdalena","SANTA MARTA","DIRECCIÓN SECCIONAL DE MAGDALENA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2015","CAPTURAS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Tolima","IBAGUÉ","DIRECCIÓN SECCIONAL DE TOLIMA","USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","ESCRITOS DE ACUSACION","6"
"ACTIVO","JUICIO","Ley 906","Colombia","Atlántico","BARRANQUILLA","DIRECCIÓN SECCIONAL DE ATLÁNTICO","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3","DELITOS INFORMATICOS","NO APLICA","2017","ESCRITOS DE ACUSACION","6"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","PREACUERDOS LEGALIZADOS","13"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","PREACUERDOS LEGALIZADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Caquetá","EL PAUJIL","DIRECCIÓN SECCIONAL DE CAQUETÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2023","TRASLADOS","1"
"ACTIVO","JUICIO","Ley 906","Colombia","Tolima","IBAGUÉ","DIRECCIÓN SECCIONAL DE TOLIMA","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2023","TRASLADOS","2"
"ACTIVO","JUICIO","Ley 906","Colombia","La Guajira","MAICAO","DIRECCIÓN SECCIONAL DE LA GUAJIRA","TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2025","CAPTURAS","2"
"ACTIVO","INDAGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2010","ESCRITOS DE ACUSACION","2"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","ESCRITOS DE ACUSACION","2"
"INACTIVO","JUICIO","Ley 906","Colombia","Atlántico","BARRANQUILLA","DIRECCIÓN SECCIONAL DE ATLÁNTICO","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2016","IMPUTACIONES","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","PREACUERDOS LEGALIZADOS","2"
"INACTIVO","INDAGACIÓN","Ley 906","Colombia","Risaralda","PEREIRA","DIRECCIÓN SECCIONAL DE RISARALDA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","CAPTURAS","1"
"INACTIVO","INVESTIGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN ESPECIALIZADA CONTRA ORGANIZACIONES CRIMINALES","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","TRASLADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Atlántico","SOLEDAD","DIRECCIÓN SECCIONAL DE ATLÁNTICO","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2015","ESCRITOS DE ACUSACION","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Caquetá","FLORENCIA","DIRECCIÓN SECCIONAL DE CAQUETÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2022","IMPUTACIONES","1"
"INACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","CAPTURAS","1"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Cundinamarca","SIMIJACA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","IMPUTACIONES","1"
"ACTIVO","INDAGACIÓN","Ley 906","Colombia","Atlántico","BARRANQUILLA","DIRECCIÓN SECCIONAL DE ATLÁNTICO","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2025","CAPTURAS","2"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Boyaca","DUITAMA","DIRECCIÓN SECCIONAL DE BOYACÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","TRASLADOS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2022","TRASLADOS","1"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Cundinamarca","SIMIJACA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","CAPTURAS","5"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Córdoba","MONTERÍA","DIRECCIÓN SECCIONAL DE CÓRDOBA","MANIPULACION DE EQUIPOS MOVILES TERMINALES. ART 105 DE LEY 1453 DE 2.011","DELITOS INFORMATICOS","NO APLICA","2018","CAPTURAS","10"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","IMPUTACIONES","23"
"INACTIVO","JUICIO","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","TRASLADOS","19"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Risaralda","DOSQUEBRADAS","DIRECCIÓN SECCIONAL DE RISARALDA","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2012","CAPTURAS","47"
"ACTIVO","INDAGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR REALIZARSE SOBRE REDES O SISTEMAS INFORMATICOS O DE COMUNICACIONES ESTATALES U OFICIALES O DEL SECTOR FINANCIERO, NACIONALES O EXTRANJEROS ART. 269H N1","DELITOS INFORMATICOS","NO APLICA","2018","IMPUTACIONES","10"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","CAPTURAS","4"
"INACTIVO","JUICIO","Ley 906","Colombia","Atlántico","BARRANQUILLA","DIRECCIÓN SECCIONAL DE ATLÁNTICO","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2023","TRASLADOS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","ESCRITOS DE ACUSACION","55"
"ACTIVO","JUICIO","Ley 906","Colombia","Valle del Cauca","CALI","DIRECCIÓN SECCIONAL DE CALI","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR SER COMETIDO POR SERVIDOR PUBLICO EN EJERCICIO DE SUS FUNCIONES ART. 269H N2","DELITOS INFORMATICOS","NO APLICA","2020","CAPTURAS","4"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2013","CAPTURAS","3"
"ACTIVO","JUICIO","Ley 906","Colombia","Cundinamarca","FUSAGASUGÁ","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","IMPUTACIONES","2"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2016","CAPTURAS","8"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Cundinamarca","SUTATAUSA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","OBSTACULIZACION ILEGITIMA DEL SISTEMA INFORMATICO O RED DE TELECOMUNICACION ART 269B LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","CAPTURAS","4"
"ACTIVO","JUICIO","Ley 906","Colombia","Cundinamarca","NOCAIMA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2023","IMPUTACIONES","2"
"INACTIVO","INDAGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR REALIZARSE SOBRE REDES O SISTEMAS INFORMATICOS O DE COMUNICACIONES ESTATALES U OFICIALES O DEL SECTOR FINANCIERO, NACIONALES O EXTRANJEROS ART. 269H N1","DELITOS INFORMATICOS","NO APLICA","2012","IMPUTACIONES","1"
"ACTIVO","JUICIO","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR APROVECHARSE DE LA CONFIANZA DEPOSITADA POR EL POSEEDOR DE LA INFORMACION O POR QUIEN TUVIERE UN VINCULO CONTRACTUAL CON ESTE. ART. 269H N3","DELITOS INFORMATICOS","NO APLICA","2019","TRASLADOS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5","DELITOS INFORMATICOS","NO APLICA","2021","ESCRITOS DE ACUSACION","2"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Cauca","POPAYÁN","DIRECCIÓN SECCIONAL DE CAUCA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2023","PREACUERDOS LEGALIZADOS","1"
"ACTIVO","JUICIO","Ley 906","Colombia","Cundinamarca","FÚQUENE","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","DE LA PROTECCION DE LA INFORMACION Y DE LOS DATOS","DELITOS INFORMATICOS","NO APLICA","2022","ESCRITOS DE ACUSACION","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Boyaca","SOGAMOSO","DIRECCIÓN SECCIONAL DE BOYACÁ","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","ESCRITOS DE ACUSACION","3"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","GRANADA","DIRECCIÓN SECCIONAL DE META","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2014","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN ESPECIALIZADA CONTRA ORGANIZACIONES CRIMINALES","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","ESCRITOS DE ACUSACION","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Cundinamarca","CHÍA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","ESCRITOS DE ACUSACION","4"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","DAÑO INFORMATICO ART 269D LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2010","CAPTURAS","1"
"ACTIVO","INDAGACIÓN","Ley 906","Colombia","Cundinamarca","VILLETA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2025","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Boyaca","SOGAMOSO","DIRECCIÓN SECCIONAL DE BOYACÁ","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2010","ESCRITOS DE ACUSACION","1"
"ACTIVO","JUICIO","Ley 906","Colombia","Nariño","PASTO","DIRECCIÓN SECCIONAL DE NARIÑO","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2025","TRASLADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Caquetá","FLORENCIA","DIRECCIÓN SECCIONAL DE CAQUETÁ","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","IMPUTACIONES","5"
"ACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","DAÑO INFORMATICO ART 269D LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2022","PRINCIPIOS DE OPORTUNIDAD LEGALIZADOS","3"
"INACTIVO","JUICIO","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Quindío","ARMENIA","DIRECCIÓN SECCIONAL DE QUINDÍO","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Meta","VILLAVICENCIO","DIRECCIÓN SECCIONAL DE META","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2024","PREACUERDOS LEGALIZADOS","4"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR REALIZARSE SOBRE REDES O SISTEMAS INFORMATICOS O DE COMUNICACIONES ESTATALES U OFICIALES O DEL SECTOR FINANCIERO, NACIONALES O EXTRANJEROS ART. 269H N1","DELITOS INFORMATICOS","NO APLICA","2018","ESCRITOS DE ACUSACION","1"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","MANIPULACION DE EQUIPOS MOVILES TERMINALES. ART 105 DE LEY 1453 DE 2.011","DELITOS INFORMATICOS","NO APLICA","2011","CAPTURAS","3"
"ACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Cundinamarca","SIMIJACA","DIRECCIÓN SECCIONAL DE CUNDINAMARCA","DE LA PROTECCION DE LA INFORMACION Y DE LOS DATOS","DELITOS INFORMATICOS","NO APLICA","2020","IMPUTACIONES","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Santander","BUCARAMANGA","DIRECCIÓN SECCIONAL DE SANTANDER","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2020","ESCRITOS DE ACUSACION","2"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","IMPUTACIONES","1"
"INACTIVO","INDAGACIÓN","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCION ESPECIALIZADA CONTRA LOS DELITOS INFORMATICOS","DAÑO INFORMATICO ART 269D LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","IMPUTACIONES","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","SALGAR","DIRECCIÓN SECCIONAL DE ANTIOQUIA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2021","PREACUERDOS LEGALIZADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DIRECCIÓN SECCIONAL DE BOGOTÁ","TRANSFERENCIA NO CONSENTIDA DE ACTIVOS VALIENDOSE DE ALGUNA MANIPULACION INFORMATICA O ARTIFICIO SEMEJANTE ART. 269J LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","ESCRITOS DE ACUSACION","2"
"ACTIVO","JUICIO","Ley 906","Colombia","Cesar","VALLEDUPAR","DIRECCIÓN SECCIONAL DE CESAR","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","IMPUTACIONES","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Antioquia","MEDELLÍN","DIRECCIÓN SECCIONAL DE MEDELLÍN","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009, AGRAVADO POR OBTENER PROVECHO PARA SI O PARA UN TERCERO. ART. 269H N5","DELITOS INFORMATICOS","NO APLICA","2019","TRASLADOS","1"
"INACTIVO","JUICIO","Ley 906","Colombia","Caldas","MANIZALES","DIRECCIÓN SECCIONAL DE CALDAS","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2015","IMPUTACIONES","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Bolívar","CARTAGENA","DIRECCIÓN SECCIONAL DE BOLÍVAR","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","CAPTURAS","1"
"ACTIVO","JUICIO","Ley 906","Colombia","Casanare","YOPAL","DIRECCIÓN SECCIONAL DE CASANARE","VIOLACION DE DATOS PERSONALES ART 269F LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2019","CAPTURAS","2"
"INACTIVO","JUICIO","Ley 906","Colombia","BOGOTÁ, D. C.","BOGOTÁ, D.C.","DELEGADA CONTRA LA CRIMINALIDAD ORGANIZADA","USO DE SOFTWARE MALICIOSO ART 269E LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2018","IMPUTACIONES","1"
"INACTIVO","INVESTIGACIÓN","Ley 906","Colombia","Bolívar","CARTAGENA","DIRECCIÓN SECCIONAL DE BOLÍVAR","ACCESO ABUSIVO A UN SISTEMA INFORMATICO ART 269A LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2016","CAPTURAS","1"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Risaralda","DOSQUEBRADAS","DIRECCIÓN SECCIONAL DE RISARALDA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","CAPTURAS","2"
"INACTIVO","EJECUCIÓN DE PENAS","Ley 906","Colombia","Magdalena","EL BANCO","DIRECCIÓN SECCIONAL DE MAGDALENA","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2017","CAPTURAS","2"
"INACTIVO","JUICIO","Ley 906","Colombia","Antioquia","CALDAS","DIRECCIÓN SECCIONAL DE MEDELLÍN","HURTO POR MEDIOS INFORMATICOS Y SEMEJANTES ART. 269I LEY 1273 DE 2009","DELITOS INFORMATICOS","NO APLICA","2014","IMPUTACIONES","1"
